"id","titulopincipal","titulooriginal","anolancamento","tempominutos","genero","notamedia","numerovotos","generoartista","personagem","nomeartista","anonascimento","anofalecimento","profissao","titulosmaisconhecidos"
"tt0470304","The Unusual Youth","Fei seung ching chun kei","2005","99","Romance","5.4","26","actor","Leung Guy Cheung'Big Chick'","Marco Lok","\N","\N","actor","tt0813549,tt0478886,tt1092287,tt0313579"
"tt0470417","Küçük hanimin soförü","Küçük hanimin soförü","1970","89","Romance","6.7","66","actress","\N","Belgin Doruk","1936","1995","actress","tt0208710,tt0319642,tt0353971,tt0323006"
"tt0470417","Küçük hanimin soförü","Küçük hanimin soförü","1970","89","Romance","6.7","66","actor","\N","Ayhan Isik","1929","1979","actor,producer,writer","tt0433932,tt0306271,tt0279853,tt0261771"
"tt0470417","Küçük hanimin soförü","Küçük hanimin soförü","1970","89","Romance","6.7","66","actor","\N","Hulusi Kentmen","1912","1993","actor","tt0185853,tt0276793,tt0478011,tt0334934"
"tt0470417","Küçük hanimin soförü","Küçük hanimin soförü","1970","89","Romance","6.7","66","actress","\N","Mualla Sürer","1902","1976","actress,costume_designer","tt0325076,tt0279691,tt0353971,tt0264191"
"tt0470417","Küçük hanimin soförü","Küçük hanimin soförü","1970","89","Romance","6.7","66","actor","\N","Süleyman Turan","1936","2019","actor,writer,assistant_director","tt0491321,tt0263403,tt1567448,tt0457212"
"tt0470417","Küçük hanimin soförü","Küçük hanimin soförü","1970","89","Romance","6.7","66","actress","\N","Nisa Serezli","1928","1992","actress","tt0407751,tt0291506,tt0429254,tt6511348"
"tt0470420","The Leap Years","The Leap Years","2008","103","Romance","5.9","154","actress","Li-Ann - age 48","Joan Chen","1961","\N","actress,director,writer","tt0452631,tt0113492,tt0110725,tt0093389"
"tt0470420","The Leap Years","The Leap Years","2008","103","Romance","5.9","154","actress","Sunetta","Nadya Hutagalung","\N","\N","actress,producer","tt3678948,tt0470420,tt2578812,tt1817658"
"tt0470420","The Leap Years","The Leap Years","2008","103","Romance","5.9","154","actor","Raymond","Jason Chan","1971","\N","actor,director,writer","tt0424880,tt3644228,tt0382992,tt6336084"
"tt0470420","The Leap Years","The Leap Years","2008","103","Romance","5.9","154","actor","Jeremy","Ananda Everingham","1982","\N","actor,producer","tt0440803,tt1345825,tt1740482,tt1743711"
"tt0470759","Shirin and Farhad","Ferhat ile Sirin","1970","112","Romance","5.7","61","actor","Ferhat","Cüneyt Arkin","1937","2022","actor,writer,director","tt0280896,tt0183784,tt0183597,tt0182060"
"tt0470759","Shirin and Farhad","Ferhat ile Sirin","1970","112","Romance","5.7","61","actor","\N","Morteza Ahmadi","1924","2014","actor,music_department","tt0793586,tt8982346,tt0495677,tt0939863"
"tt0470759","Shirin and Farhad","Ferhat ile Sirin","1970","112","Romance","5.7","61","actor","\N","Osman Kavur","\N","\N","actor","tt0470759"
"tt0470759","Shirin and Farhad","Ferhat ile Sirin","1970","112","Romance","5.7","61","actress","\N","Fatma Güler","\N","\N","actress","tt0470759"
"tt0470943","Tian tian mi mi","Tian tian mi mi","1959","\N","Romance","7.6","12","actor","Huilan's father","Lei Shih","\N","\N","actor,director","tt0082428,tt0187186,tt0471097,tt2498364"
"tt0470943","Tian tian mi mi","Tian tian mi mi","1959","\N","Romance","7.6","12","actor","Clerk","Long Tang","\N","\N","actor,script_department,director","tt10578586,tt0205285,tt0188286,tt0470964"
"tt0470943","Tian tian mi mi","Tian tian mi mi","1959","\N","Romance","7.6","12","actress","Huilan's mother","Su Liu","\N","1999","actress","tt0470943,tt0349656,tt3497156,tt0821479"
"tt0470943","Tian tian mi mi","Tian tian mi mi","1959","\N","Romance","7.6","12","actress","Wang Baozhu","Xiyun Wang","\N","\N","actress","tt0206027,tt0470943,tt0192819,tt5122796"
"tt0470943","Tian tian mi mi","Tian tian mi mi","1959","\N","Romance","7.6","12","actress","Ah Shun","Danwei Li","\N","\N","actress","tt0206170,tt0470943,tt0470623,tt0205103"
"tt0470943","Tian tian mi mi","Tian tian mi mi","1959","\N","Romance","7.6","12","actor","Zhang Mingyang","Qi Fu","1929","\N","actor,director,producer","tt6911546,tt7624270,tt0096284,tt0060553"
"tt0472131","The Man Who Couldn't","The Man Who Couldn't","2005","95","Romance","9.3","18","actor","Orly Alexander","Mark Conley","\N","\N","actor","tt0147906,tt0137386,tt0105946,tt0096684"
"tt0472131","The Man Who Couldn't","The Man Who Couldn't","2005","95","Romance","9.3","18","actor","TMWC","Brandon Ford Green","\N","\N","actor,director,writer","tt15245738,tt3877088,tt4938700,tt16532590"
"tt0472131","The Man Who Couldn't","The Man Who Couldn't","2005","95","Romance","9.3","18","actress","Monika French","Micah Marie","\N","\N","actress","tt0085349,tt0482517,tt0472131,tt0765471"
"tt0472131","The Man Who Couldn't","The Man Who Couldn't","2005","95","Romance","9.3","18","actor","Alter-EAnderson Kemp","Arthur Lee Walker","\N","\N","actor","tt0472131"
"tt0475140","Ren'ai-shousetsu","Ren'ai-shousetsu","2004","105","Romance","7.0","17","actor","Yuya Kubo","Sansei Shiomi","1951","\N","actor","tt0439075,tt0359692,tt0256956,tt0239655"
"tt0475140","Ren'ai-shousetsu","Ren'ai-shousetsu","2004","105","Romance","7.0","17","actor","Young Satoshi Kubo","Ryûnosuke Kamiki","1993","\N","actor","tt0245429,tt5311514,tt1474276,tt1568921"
"tt0475140","Ren'ai-shousetsu","Ren'ai-shousetsu","2004","105","Romance","7.0","17","actor","Satoshi Kubo","Hiroshi Tamaki","1980","\N","actor,camera_department","tt4362960,tt8649224,tt1697051,tt0427793"
"tt0475140","Ren'ai-shousetsu","Ren'ai-shousetsu","2004","105","Romance","7.0","17","actor","Hiroyuki Takei","Hiroyuki Ikeuchi","1976","\N","actor,director","tt0209631,tt0882739,tt1220719,tt1477109"
"tt0475140","Ren'ai-shousetsu","Ren'ai-shousetsu","2004","105","Romance","7.0","17","actress","Mizuki Sawai","Manami Konishi","1978","\N","actress","tt0348299,tt1285312,tt0276015,tt0283878"
