id,titulopincipal,titulooriginal,anolancamento,tempominutos,genero,notamedia,numerovotos,generoartista,nomeartista,profissao
tt0470759,Shirin and Farhad,Ferhat ile Sirin,1970,112,Romance,5.7,61,actor,Morteza Ahmadi,"actor,music_department"
tt0470759,Shirin and Farhad,Ferhat ile Sirin,1970,112,Romance,5.7,61,actor,Osman Kavur,actor
tt0470759,Shirin and Farhad,Ferhat ile Sirin,1970,112,Romance,5.7,61,actress,Fatma Güler,actress
tt0470943,Tian tian mi mi,Tian tian mi mi,1959,\N,Romance,7.6,12,actor,Lei Shih,"actor,director"
tt0470943,Tian tian mi mi,Tian tian mi mi,1959,\N,Romance,7.6,12,actor,Long Tang,"actor,script_department,director"
tt0470943,Tian tian mi mi,Tian tian mi mi,1959,\N,Romance,7.6,12,actress,Su Liu,actress
tt0470943,Tian tian mi mi,Tian tian mi mi,1959,\N,Romance,7.6,12,actress,Xiyun Wang,actress
tt0470943,Tian tian mi mi,Tian tian mi mi,1959,\N,Romance,7.6,12,actress,Danwei Li,actress
tt0470943,Tian tian mi mi,Tian tian mi mi,1959,\N,Romance,7.6,12,actor,Qi Fu,"actor,director,producer"
tt0472131,The Man Who Couldn't,The Man Who Couldn't,2005,95,Romance,9.3,18,actor,Mark Conley,actor
tt0472131,The Man Who Couldn't,The Man Who Couldn't,2005,95,Romance,9.3,18,actor,Brandon Ford Green,"actor,director,writer"
tt0472131,The Man Who Couldn't,The Man Who Couldn't,2005,95,Romance,9.3,18,actress,Micah Marie,actress
tt0472131,The Man Who Couldn't,The Man Who Couldn't,2005,95,Romance,9.3,18,actor,Arthur Lee Walker,actor
tt0475140,Ren'ai-shousetsu,Ren'ai-shousetsu,2004,105,Romance,7.0,17,actor,Sansei Shiomi,actor
tt0475140,Ren'ai-shousetsu,Ren'ai-shousetsu,2004,105,Romance,7.0,17,actor,Ryûnosuke Kamiki,actor
tt0475140,Ren'ai-shousetsu,Ren'ai-shousetsu,2004,105,Romance,7.0,17,actor,Hiroshi Tamaki,"actor,camera_department"
tt0475140,Ren'ai-shousetsu,Ren'ai-shousetsu,2004,105,Romance,7.0,17,actor,Hiroyuki Ikeuchi,"actor,director"
tt0475140,Ren'ai-shousetsu,Ren'ai-shousetsu,2004,105,Romance,7.0,17,actress,Manami Konishi,actress
tt0475140,Ren'ai-shousetsu,Ren'ai-shousetsu,2004,105,Romance,7.0,17,actress,Kaoru Okunuki,actress
tt0475140,Ren'ai-shousetsu,Ren'ai-shousetsu,2004,105,Romance,7.0,17,actress,Aya Hirayama,"actress,soundtrack"
tt0475369,Red Thread,Red Thread,2005,92,Romance,5.6,62,actress,Jasmine Brooke White,"actress,writer,producer"
tt0475369,Red Thread,Red Thread,2005,92,Romance,5.6,62,actress,Diana Scarwid,"actress,soundtrack"
tt0475369,Red Thread,Red Thread,2005,92,Romance,5.6,62,actor,Jonathan Irons,actor
tt0475369,Red Thread,Red Thread,2005,92,Romance,5.6,62,actor,Eamon Sheehan,"actor,writer,producer"
tt0475639,A Heartful of Love,Kono mune ippai no ai wo,2005,132,Romance,6.3,133,actress,Rie Mimura,actress
tt0475639,A Heartful of Love,Kono mune ippai no ai wo,2005,132,Romance,6.3,133,actress,Chieko Baishô,"actress,soundtrack"
tt0475639,A Heartful of Love,Kono mune ippai no ai wo,2005,132,Romance,6.3,133,actor,Hideaki Itô,"actor,talent_agent"
tt0475639,A Heartful of Love,Kono mune ippai no ai wo,2005,132,Romance,6.3,133,actor,Kin'ya Aikawa,"actor,director,writer"
tt0476761,Deha,Deha,2007,126,Romance,6.6,83,actress,Supriya Karnik,actress
tt0476761,Deha,Deha,2007,126,Romance,6.6,83,actress,Jaya Prada,"actress,producer"
tt0476761,Deha,Deha,2007,126,Romance,6.6,83,actor,Mahesh Manjrekar,"writer,producer,actor"
tt0476761,Deha,Deha,2007,126,Romance,6.6,83,actress,Amrita Arora,actress
tt0477353,Oru Kalluriyin Kathai,Oru Kalluriyin Kathai,2005,\N,Romance,4.9,124,actor,Anand Sami,actor
tt0477353,Oru Kalluriyin Kathai,Oru Kalluriyin Kathai,2005,\N,Romance,4.9,124,actress,Sonia Agarwal,actress
tt0477353,Oru Kalluriyin Kathai,Oru Kalluriyin Kathai,2005,\N,Romance,4.9,124,actor,Arya,"actor,producer"
tt0477353,Oru Kalluriyin Kathai,Oru Kalluriyin Kathai,2005,\N,Romance,4.9,124,actor,Mouli,"actor,director,writer"
tt0477930,Moments of Love,Yung po mui yuk hak fa for,2005,90,Romance,7.2,21,actress,June Chan,actress
tt0477930,Moments of Love,Yung po mui yuk hak fa for,2005,90,Romance,7.2,21,actor,Kwok-wai Choi,actor
tt0477930,Moments of Love,Yung po mui yuk hak fa for,2005,90,Romance,7.2,21,actor,Steven Cheung,"actor,producer"
tt0477930,Moments of Love,Yung po mui yuk hak fa for,2005,90,Romance,7.2,21,actress,Macy Chan,actress
tt0477930,Moments of Love,Yung po mui yuk hak fa for,2005,90,Romance,7.2,21,actor,Hins Cheung,actor
tt0478031,Sevdigim usak,Sevdigim usak,1971,\N,Romance,6.7,23,actor,Ali Demir,"actor,assistant_director,camera_department"
tt0478031,Sevdigim usak,Sevdigim usak,1971,\N,Romance,6.7,23,actress,Diclehan Baban,actress
tt0478031,Sevdigim usak,Sevdigim usak,1971,\N,Romance,6.7,23,actress,Zuhal Aktan,actress
tt0478031,Sevdigim usak,Sevdigim usak,1971,\N,Romance,6.7,23,actor,Sadri Alisik,"actor,soundtrack,music_department"
tt0478370,Kerem ile Asli,Kerem ile Asli,1971,77,Romance,6.2,79,actress,Gülten Ceylan,actress
tt0478370,Kerem ile Asli,Kerem ile Asli,1971,77,Romance,6.2,79,actress,Nedret Güvenç,actress
tt0478370,Kerem ile Asli,Kerem ile Asli,1971,77,Romance,6.2,79,actor,Hasan Ceylan,actor
tt0478370,Kerem ile Asli,Kerem ile Asli,1971,77,Romance,6.2,79,actor,Hayati Hamzaoglu,"actor,producer"
tt0478370,Kerem ile Asli,Kerem ile Asli,1971,77,Romance,6.2,79,actress,Fatma Girik,"actress,producer,writer"
tt0478370,Kerem ile Asli,Kerem ile Asli,1971,77,Romance,6.2,79,actor,Arap Celal,actor
tt0479387,Fakir asiklarin romani,Fakir asiklarin romani,1971,55,Romance,4.7,31,actress,Aynur Aydan,actress
tt0479387,Fakir asiklarin romani,Fakir asiklarin romani,1971,55,Romance,4.7,31,actor,Ali Sen,actor
tt0479387,Fakir asiklarin romani,Fakir asiklarin romani,1971,55,Romance,4.7,31,actor,Cüneyt Arkin,"actor,writer,director"
tt0479387,Fakir asiklarin romani,Fakir asiklarin romani,1971,55,Romance,4.7,31,actor,Sami Ayanoglu,"actor,director,writer"
tt0479387,Fakir asiklarin romani,Fakir asiklarin romani,1971,55,Romance,4.7,31,actor,Atif Kaptan,actor
tt0479387,Fakir asiklarin romani,Fakir asiklarin romani,1971,55,Romance,4.7,31,actress,Gülistan Güzey,actress
tt0479387,Fakir asiklarin romani,Fakir asiklarin romani,1971,55,Romance,4.7,31,actress,Nur Alpan,actress
tt0479387,Fakir asiklarin romani,Fakir asiklarin romani,1971,55,Romance,4.7,31,actor,Necdet Mahfi Ayral,"actor,writer"
tt0479657,Embrace Your Shadow,Dzi oi,2005,102,Romance,7.2,58,actress,Ching-yu Cheung,actress
tt0479657,Embrace Your Shadow,Dzi oi,2005,102,Romance,7.2,58,actor,Dylan Kuo,actor
tt0479657,Embrace Your Shadow,Dzi oi,2005,102,Romance,7.2,58,actress,Wai-Ling Chan,actress
tt0479657,Embrace Your Shadow,Dzi oi,2005,102,Romance,7.2,58,actress,Fiona Sit,actress
tt0481129,The Greatest Love of All,O Maior Amor do Mundo,2006,106,Romance,6.5,276,actress,Taís Araújo,"actress,soundtrack"
tt0481129,The Greatest Love of All,O Maior Amor do Mundo,2006,106,Romance,6.5,276,actor,Sérgio Britto,"actor,director,writer"
tt0481129,The Greatest Love of All,O Maior Amor do Mundo,2006,106,Romance,6.5,276,actor,José Wilker,"actor,director,producer"
tt0481129,The Greatest Love of All,O Maior Amor do Mundo,2006,106,Romance,6.5,276,actress,Anna Sophia Folch,"actress,producer"
tt0481129,The Greatest Love of All,O Maior Amor do Mundo,2006,106,Romance,6.5,276,actor,Marco Ricca,"actor,producer,writer"
tt0481129,The Greatest Love of All,O Maior Amor do Mundo,2006,106,Romance,6.5,276,actress,Léa Garcia,"actress,producer"
tt0481370,Nuvvu Nenu,Nuvvu Nenu,2001,135,Romance,6.6,231,actor,Banerjee,"actor,miscellaneous,director"
tt0481370,Nuvvu Nenu,Nuvvu Nenu,2001,135,Romance,6.6,231,actress,Anita Hassanandani Reddy,"actress,music_department"
tt0481370,Nuvvu Nenu,Nuvvu Nenu,2001,135,Romance,6.6,231,actor,Sunil,actor
tt0481370,Nuvvu Nenu,Nuvvu Nenu,2001,135,Romance,6.6,231,actor,Uday Kiran,"actor,music_department"
tt0485183,Alli Arjuna,Alli Arjuna,2002,148,Romance,3.8,71,actress,Richa Pallod,actress
tt0485183,Alli Arjuna,Alli Arjuna,2002,148,Romance,3.8,71,actor,Manoj K. Bharathi,"actor,director,assistant_director"
tt0485243,Jodi,Jodi,1999,161,Romance,6.1,232,actress,Isha Koppikar,actress
tt0485243,Jodi,Jodi,1999,161,Romance,6.1,232,actor,Manager Cheena,actor
tt0485243,Jodi,Jodi,1999,161,Romance,6.1,232,actor,Vijay Kumar,"actor,producer"
