id,titulopincipal,titulooriginal,anolancamento,tempominutos,genero,notamedia,numerovotos
tt6632208,Talav,Talav,2017,112,Romance,8.3,8
tt6632208,Talav,Talav,2017,112,Romance,8.3,8
tt6639716,Bir Içim Su,Bir Içim Su,1990,\N,Romance,3.5,7
tt6639716,Bir Içim Su,Bir Içim Su,1990,\N,Romance,3.5,7
tt6639716,Bir Içim Su,Bir Içim Su,1990,\N,Romance,3.5,7
tt6639716,Bir Içim Su,Bir Içim Su,1990,\N,Romance,3.5,7
tt6639716,Bir Içim Su,Bir Içim Su,1990,\N,Romance,3.5,7
tt6639716,Bir Içim Su,Bir Içim Su,1990,\N,Romance,3.5,7
tt6649066,Hollywood Dirt,Hollywood Dirt,2017,85,Romance,6.1,1503
tt6649066,Hollywood Dirt,Hollywood Dirt,2017,85,Romance,6.1,1503
tt6649066,Hollywood Dirt,Hollywood Dirt,2017,85,Romance,6.1,1503
tt6649066,Hollywood Dirt,Hollywood Dirt,2017,85,Romance,6.1,1503
tt6658066,In Dire Need of Compassion,In Dire Need of Compassion,2017,76,Romance,5.8,27
tt6658066,In Dire Need of Compassion,In Dire Need of Compassion,2017,76,Romance,5.8,27
tt6658066,In Dire Need of Compassion,In Dire Need of Compassion,2017,76,Romance,5.8,27
tt6658066,In Dire Need of Compassion,In Dire Need of Compassion,2017,76,Romance,5.8,27
tt6675230,Goodnight (or Good Morning),Goodnight (or Good Morning),2018,\N,Romance,7.4,10
tt6675230,Goodnight (or Good Morning),Goodnight (or Good Morning),2018,\N,Romance,7.4,10
tt6675230,Goodnight (or Good Morning),Goodnight (or Good Morning),2018,\N,Romance,7.4,10
tt6675230,Goodnight (or Good Morning),Goodnight (or Good Morning),2018,\N,Romance,7.4,10
tt6685776,Isoken,Isoken,2017,100,Romance,6.4,338
tt6685776,Isoken,Isoken,2017,100,Romance,6.4,338
tt6685776,Isoken,Isoken,2017,100,Romance,6.4,338
tt6685776,Isoken,Isoken,2017,100,Romance,6.4,338
tt6692840,Du soleil dans mes yeux,Du soleil dans mes yeux,2018,86,Romance,5.5,33
tt6692840,Du soleil dans mes yeux,Du soleil dans mes yeux,2018,86,Romance,5.5,33
tt6692840,Du soleil dans mes yeux,Du soleil dans mes yeux,2018,86,Romance,5.5,33
tt6692840,Du soleil dans mes yeux,Du soleil dans mes yeux,2018,86,Romance,5.5,33
tt6695734,Love Love Love,Love Love Love,2017,\N,Romance,5.1,18
tt6695734,Love Love Love,Love Love Love,2017,\N,Romance,5.1,18
tt6695734,Love Love Love,Love Love Love,2017,\N,Romance,5.1,18
tt6695734,Love Love Love,Love Love Love,2017,\N,Romance,5.1,18
tt6695734,Love Love Love,Love Love Love,2017,\N,Romance,5.1,18
tt6705126,Prem Geet,Prem Geet,2016,138,Romance,6.4,173
tt6705126,Prem Geet,Prem Geet,2016,138,Romance,6.4,173
tt6705126,Prem Geet,Prem Geet,2016,138,Romance,6.4,173
tt6705126,Prem Geet,Prem Geet,2016,138,Romance,6.4,173
tt6720298,Muskurahatein,Muskurahatein,2017,132,Romance,2.7,1139
tt6720298,Muskurahatein,Muskurahatein,2017,132,Romance,2.7,1139
tt6720298,Muskurahatein,Muskurahatein,2017,132,Romance,2.7,1139
tt6720298,Muskurahatein,Muskurahatein,2017,132,Romance,2.7,1139
